絪腹,瓣悔靡ㄩ絪絏,Τ基靡ㄩ腹,Τ基靡ㄩ嘿,カ初,Τ基靡ㄩ,玻穨,そ秨祇︽/カ(耫)/祇︽ら,CFICode,称爹
25,TW0003356002,3356,案,カ,布,筿穨,2005/03/28,ESVUFR,
26,TW0003383006,3383,穝,カ,布,筿穨,2007/12/10,ESVUFR,
27,TW0003406005,3406,ド垂,カ,布,筿穨,2005/12/20,ESVUFR,
28,TW0003437000,3437,篴承,カ,布,筿穨,2014/07/09,ESVUFR,
29,TW0003454005,3454,垂和,カ,布,筿穨,2011/07/22,ESVUFR,
30,TW0003481008,3481,竤承,カ,布,筿穨,2006/10/24,ESVUFR,
31,TW0003504007,3504,喘,カ,布,筿穨,2007/01/26,ESVUFR,
32,TW0003535001,3535,垂眒,カ,布,筿穨,2008/01/31,ESVUFR,
33,TW0003543005,3543,ォ,カ,布,筿穨,2020/04/15,ESVUFR,
34,TW0003563003,3563,紈,カ,布,筿穨,2019/04/02,ESVUFR,
35,TW0003576005,3576,羛ネ,カ,布,筿穨,2009/01/12,ESVUFR,
36,TW0003591004,3591,︺裁此,カ,布,筿穨,2010/11/12,ESVUFR,
37,TW0003622007,3622,瑅地,カ,布,筿穨,2009/03/25,ESVUFR,
38,KYG898431096,3673,TPK-KY,カ,布,筿穨,2010/10/29,ESVTFR,
39,TW0003714002,3714,碔,カ,布,筿穨,2021/01/06,ESVUFR,
40,TW0004934005,4934,び伐,カ,布,筿穨,2010/03/10,ESVUFR,
41,KYG3931M1024,4935,璟狶-KY,カ,布,筿穨,2011/07/28,ESVUFR,
42,TW0004942008,4942,古裹,カ,布,筿穨,2011/06/27,ESVUFR,
43,TW0004956008,4956,鑒,カ,布,筿穨,2011/10/24,ESVUFR,
44,TW0004960000,4960,港,カ,布,筿穨,2011/10/24,ESVUFR,
45,TW0004976006,4976,ㄎ,カ,布,筿穨,2012/11/20,ESVUFR,
46,TW0005234009,5234,笷砍,カ,布,筿穨,2012/07/16,ESVUFR,
47,KYG312361051,5243,脖-KY,カ,布,筿穨,2013/11/25,ESVUFR,
48,TW0005484000,5484,紌ね,カ,布,筿穨,2003/08/25,ESVUFR,
49,TW0006116007,6116,眒垂,カ,布,筿穨,2004/09/06,ESVUFR,
50,TW0006120009,6120,笷笲,カ,布,筿穨,2006/09/13,ESVUFR,
51,TW0006164007,6164,地砍,カ,布,筿穨,2008/10/21,ESVUFR,
52,TW0006168008,6168,Щ霍,カ,布,筿穨,2003/08/25,ESVUFR,
53,TW0006176001,6176,风祸,カ,布,筿穨,2007/05/15,ESVUFR,
54,TW0006209000,6209,さ瓣,カ,布,筿穨,2004/11/08,ESVUFR,
55,TW0006225006,6225,ぱ胿,カ,布,筿穨,2004/09/27,ESVUFR,
56,TW0006226004,6226,供,カ,布,筿穨,2008/11/10,ESVUFR,
57,TW0006278005,6278,,カ,布,筿穨,2010/08/24,ESVUFR,
58,TW0006289002,6289,地,カ,布,筿穨,2003/08/28,ESVUFR,
59,TW0006405004,6405,,カ,布,筿穨,2013/11/28,ESVUFR,
60,KYG532651075,6431,腞-KY,カ,布,筿穨,2014/12/04,ESVUFR,
61,TW0006443005,6443,じ垂,カ,布,筿穨,2015/10/01,ESVUFR,
62,KYG3808R1011,6456,GIS-KY,カ,布,筿穨,2015/06/12,ESVUFR,
63,TW0006477003,6477,栋,カ,布,筿穨,2016/06/21,ESVUFR,
64,TW0006668007,6668,い喘,カ,布,筿穨,2018/12/12,ESVUFR,
65,TW0006706005,6706,磃疭,カ,布,筿穨,2019/12/19,ESVUFR,
66,TW0008104001,8104,脘腳,カ,布,筿穨,2019/01/17,ESVUFR,
67,TW0008105008,8105,エ,カ,布,筿穨,2006/12/27,ESVUFR,
68,TW0008215005,8215,膀,カ,布,筿穨,2010/11/12,ESVUFR,
