絪腹,瓣悔靡ㄩ絪絏,Τ基靡ㄩ腹,Τ基靡ㄩ嘿,カ初,Τ基靡ㄩ,玻穨,そ秨祇︽/カ(耫)/祇︽ら,CFICode,称爹
64,TW0009927004,9927,皇,カ,布,ㄤ穨,1999/03/12,ESVUFR,
65,TW0009928002,9928,い跌,カ,布,ㄤ穨,1999/08/09,ESVUFR,
66,TW0009929000,9929,獴,カ,布,ㄤ穨,1999/06/28,ESVUFR,
67,TW0009930008,9930,い羛戈方,カ,布,ㄤ穨,1999/11/22,ESVUFR,
68,TW0009933002,9933,い供,カ,布,ㄤ穨,1993/05/28,ESVUFR,
69,TW0009934000,9934,Θ繫,カ,布,ㄤ穨,2000/09/11,ESVUFR,
70,TW0009935007,9935,紋伦碔,カ,布,ㄤ穨,2000/09/11,ESVUFR,
71,TW0009938001,9938,κ㎝,カ,布,ㄤ穨,2001/01/12,ESVUFR,
72,TW0009939009,9939,Щ,カ,布,ㄤ穨,2001/03/02,ESVUFR,
73,TW0009940007,9940,獺竡,カ,布,ㄤ穨,2001/09/17,ESVUFR,
74,TW0009941005,9941,肝磕,カ,布,ㄤ穨,2001/09/17,ESVUFR,
75,TW0009942003,9942,璟抖,カ,布,ㄤ穨,2002/01/28,ESVUFR,
76,TW0009944009,9944,穝腞,カ,布,ㄤ穨,2002/08/26,ESVUFR,
77,TW0009945006,9945,柬穝,カ,布,ㄤ穨,1992/04/30,ESVUFR,
78,TW0009955005,9955,ㄎ纒,カ,布,ㄤ穨,2008/01/21,ESVUFR,
